time_ms,voltage,spike
41.00,-70.5806,0
41.50,-70.5732,0
42.00,-70.5658,0
42.50,-70.5586,0
43.00,-70.5514,0
43.50,-70.5443,0
44.00,-70.5373,0
44.50,-70.5304,0
45.00,-70.5235,0
45.50,-70.5168,0
46.00,-70.5101,0
46.50,-70.5035,0
47.00,-70.4970,0
47.50,-70.4906,0
48.00,-70.4843,0
48.50,-70.4780,0
49.00,-70.4718,0
49.50,-70.4657,0
50.00,-70.4597,0
50.50,-70.4537,0
51.00,-70.4479,0
51.50,-70.4420,0
52.00,-70.4363,0
52.50,-70.4306,0
53.00,-70.4250,0
53.50,-70.4195,0
54.00,-70.4141,0
54.50,-70.4087,0
55.00,-70.4034,0
55.50,-70.3981,0
56.00,-70.3929,0
56.50,-70.3878,0
57.00,-70.3828,0
57.50,-70.3778,0
58.00,-70.3728,0
58.50,-70.3680,0
59.00,-70.3632,0
59.50,-70.3584,0
60.00,-70.3537,0
60.50,-70.3491,0
61.00,-70.3446,0
61.50,-70.3400,0
62.00,-70.3356,0
62.50,-70.3312,0
63.00,-70.3268,0
63.50,-70.3226,0
64.00,-70.3183,0
64.50,-70.3142,0
65.00,-70.3100,0
65.50,-70.3060,0
66.00,-70.3020,0
66.50,-70.2980,0
67.00,-70.2941,0
67.50,-70.2902,0
68.00,-70.2864,0
68.50,-70.2826,0
69.00,-70.2789,0
69.50,-70.2752,0
70.00,-70.2716,0
70.50,-70.2680,0
71.00,-70.2645,0
71.50,-70.2610,0
72.00,-70.2576,0
72.50,-70.2542,0
73.00,-70.2508,0
73.50,-70.2475,0
74.00,-70.2443,0
74.50,-70.2411,0
75.00,-70.2379,0
75.50,-70.2347,0
76.00,-70.2316,0
76.50,-70.2286,0
77.00,-70.2256,0
77.50,-70.2226,0
78.00,-70.2196,0
78.50,-70.2167,0
79.00,-70.2139,0
79.50,-70.2110,0
80.00,-70.2082,0
80.50,-70.2055,0
81.00,-70.2028,0
81.50,-70.2001,0
82.00,-70.1974,0
82.50,-70.1948,0
83.00,-70.1922,0
83.50,-70.1897,0
84.00,-70.1871,0
84.50,-70.1847,0
85.00,-70.1822,0
85.50,-70.1798,0
86.00,-70.1774,0
86.50,-70.1751,0
87.00,-70.1727,0
87.50,-70.1704,0
88.00,-70.1682,0
88.50,-70.1659,0
89.00,-70.1637,0
89.50,-70.1616,0
90.00,-70.1594,0
90.50,-70.1573,0
91.00,-70.1552,0
91.50,-70.1531,0
92.00,-70.1511,0
92.50,-70.1491,0
93.00,-70.1471,0
93.50,-70.1451,0
94.00,-70.1432,0
94.50,-70.1413,0
95.00,-70.1394,0
95.50,-70.1376,0
96.00,-70.1357,0
96.50,-70.1339,0
97.00,-70.1321,0
97.50,-70.1304,0
98.00,-70.1286,0
98.50,-70.1269,0
99.00,-70.1252,0
99.50,-70.1236,0
100.00,-70.1219,0
100.50,-65.1203,0
101.00,-61.1428,0
101.50,-57.2702,0
102.00,-52.8960,0
102.50,-47.2362,0
103.00,-38.7781,0
103.50,-23.7471,0
104.00,10.0350,0
104.50,30.0000,1
105.00,-65.2520,0
105.50,-65.4400,0
106.00,-65.5693,0
106.50,-65.6458,0
107.00,-65.6758,0
107.50,-65.6653,0
108.00,-65.6198,0
108.50,-65.5441,0
109.00,-65.4422,0
109.50,-65.3173,0
110.00,-65.1721,0
110.50,-65.0087,0
111.00,-64.8285,0
111.50,-64.6325,0
112.00,-64.4213,0
112.50,-64.1950,0
113.00,-63.9535,0
113.50,-63.6961,0
114.00,-63.4217,0
114.50,-63.1290,0
115.00,-62.8159,0
115.50,-62.4800,0
116.00,-62.1178,0
116.50,-61.7251,0
117.00,-61.2963,0
117.50,-60.8242,0
118.00,-60.2994,0
118.50,-59.7089,0
119.00,-59.0354,0
119.50,-58.2544,0
120.00,-57.3306,0
120.50,-56.2114,0
121.00,-54.8155,0
121.50,-53.0106,0
122.00,-50.5684,0
122.50,-47.0646,0
123.00,-41.6303,0
123.50,-32.2409,0
124.00,-13.2467,0
124.50,30.0000,1
125.00,-68.2236,0
125.50,-70.8497,0
126.00,-72.6669,0
126.50,-73.7394,0
127.00,-74.2800,0
127.50,-74.4985,0
128.00,-74.5401,0
128.50,-74.4893,0
129.00,-74.3911,0
129.50,-74.2688,0
130.00,-74.1342,0
130.50,-73.9932,0
131.00,-73.8489,0
131.50,-73.7027,0
132.00,-73.5557,0
